Personel_ID,Yaka_Tipi,Cinsiyet,Yas,Medeni_Hal,Cocuk_Sayisi,Ilce,Mesafe_KM,Lojman_Kullanimi,Sertifika_Sayisi,Egitim_Saati_Yil,Seyahat_Sikligi,Toplam_Tecrube_Yil,Sirketteki_Yil,MKE_Oncesi_Tecrube,Ayni_Unvanda_Yil,Son_Terfi_Gecen_Yil,Mevcut_Yonetici_Yil,Birim_Degisim_Sayisi,Departman,Unvan,Egitim_Seviyesi,Maas_TL,Aylik_Mesai_Saat,Vardiya_Tipi,Vardiya_Rotasyon_Sikligi,Is_Kazasi_Gecmisi,Sendika_Sozlesme_Kalan_Ay,Kullanilan_Izin_Gun,Son_Zam_Orani,Son_Zamdan_Beri_Ay,Performans_Puani,Ortam_Memnuniyeti,Is_Memnuniyeti,Ekip_Uyum_Puani,Is_Ozel_Hayat_Dengesi,Istifa_Etti_Mi
MKE-10000,Mavi,Kadin,29,Evli,3,MKE Lojmanlari,2,1,0,4,Seyahat Yok,5,2,3,1,1,3,0,Gazi Fisek Fabrikasi,Operator,Lise,27044,10,Iki Vardiya,Aylik,0,12,24,33.487346516301045,12,3,5,4,4,4,0
MKE-10001,Beyaz,Erkek,58,Evli,1,Mamaj,14,0,1,18,Seyahat Yok,7,5,2,1,1,1,0,AR-GE Tasarim,Muhendis,Doktora,56934,12,Yok,Yok,0,0,15,35.19854157170472,4,3,3,5,5,5,0
MKE-10002,Mavi,Kadin,29,Evli,3,Cankaya,52,0,2,14,Seyahat Yok,7,4,3,1,0,5,0,Muhimmat Fabrikasi,Teknisyen,On Lisans,33820,34,Iki Vardiya,Haftalik,1,12,16,48.22517920102468,1,3,4,5,5,3,0
MKE-10003,Mavi,Erkek,44,Evli,2,MKE Lojmanlari,2,1,0,6,Seyahat Yok,24,5,19,0,0,3,0,Gazi Fisek Fabrikasi,Basusta,Lise,47695,36,Iki Vardiya,Haftalik,0,10,20,44.08188929940959,4,3,5,4,5,4,0
MKE-10004,Mavi,Erkek,43,Bekar,0,Cankaya,35,0,0,12,Seyahat Yok,2,2,0,1,1,2,0,Muhimmat Fabrikasi,Operator,Lise,29060,34,Iki Vardiya,Haftalik,0,20,16,42.768682564439146,9,1,4,4,4,3,0
MKE-10005,Mavi,Erkek,33,Evli,2,Cankaya,44,0,2,14,Seyahat Yok,14,7,7,0,0,3,0,Silah Fabrikasi,Basusta,Lise,53499,63,Uc Vardiya,Haftalik,0,23,21,48.20540871529649,8,3,2,2,3,1,0
MKE-10006,Beyaz,Erkek,27,Bekar,0,Mamaj,39,0,1,25,Siklikla,4,1,3,0,0,2,0,IK,Kidemli Muhendis,Yuksek Lisans,66700,37,Yok,Yok,0,0,25,35.22679051844284,10,3,4,4,5,4,0
MKE-10007,Mavi,Erkek,33,Bekar,0,MKE Lojmanlari,3,1,1,12,Seyahat Yok,5,5,0,2,2,4,0,Bakim Onarim,Teknisyen,Lise,36170,59,Uc Vardiya,Aylik,0,16,16,37.09802436843664,2,5,1,2,2,1,0
MKE-10008,Mavi,Erkek,41,Evli,3,Cankaya,28,0,2,19,Seyahat Yok,8,7,1,2,2,5,0,Gazi Fisek Fabrikasi,Atolye Ustasi,Lise,44834,24,Uc Vardiya,Haftalik,0,19,14,54.86376276993352,5,1,5,5,5,4,0
MKE-10009,Mavi,Kadin,42,Evli,2,Etimesgut,39,0,2,9,Seyahat Yok,23,1,22,0,0,2,0,Bakim Onarim,Basusta,Lise,45410,35,Iki Vardiya,Haftalik,0,9,20,50.23402888696284,3,3,4,4,4,3,0
